tip,app,url,settings_enabled
You can create an analysis template from any existing analysis. Go to Analysis Settings → Template tab → Create Template. Templates can then be launched for new samples with one click.,analysis,analysis_templates,
Analysis templates can be configured to auto-launch when a VCF is uploaded based on the enrichment kit or sample name. Set this up in the template settings under 'Auto Launch Config'.,analysis,analysis_templates_auto_launch,
Press the DELETE key to remove selected nodes in the analysis editor (when you're not focused in a text field).,analysis,analysis,
"Tick the checkbox for variants in the analysis grid, then use 'Create Selected Child' to instantly create a new node filtered to just those rows.",analysis,analysis,
Each analysis node has a built-in help page. Click the book icon on any node to see documentation for what it does and how to configure it.,analysis,analysis,
You can clone an existing analysis to use as a starting point. There's a 'Clone' button in Analysis Settings.,analysis,clone_analysis,
Analysis settings let you lock an analysis to prevent accidental changes. Useful once you've finalised a workflow or closed a patient case to archive it,analysis,analysis,
The analysis editor keeps an audit log of every node change. Check Analysis Settings → Audit Log tab if you want to see who changed what and when.,analysis,analysis,
The Trio Wizard lets you quickly set up a trio analysis (mother/father/proband) with a guided step-by-step interface. Find it from the VCF/cohort page.,analysis,trio_wizard,
The Quad Wizard extends trio analysis to include a sibling. Handy for recessive inheritance filtering with internal controls.,analysis,quad_wizard,
"In the analysis grid, you can filter to any column by using the FilterNode. Filters are case-insensitive and support AND/OR logic across columns.",analysis,analysis,
The node counts that appear below nodes are customisable via Settings → Node Counts tab,snpdb,view_user_settings,
The MOI (Mode of Inheritance) node uses zygosity and GenCC gene/disease associations to filter variants by inheritance pattern. No manual gene list required.,analysis,analysis,
"The Phenotype node accepts HPO, OMIM, and MONDO terms to filter variants to genes associated with specific diseases or phenotypes.",analysis,analysis,
The Conservation node lets you filter variants by evolutionary conservation scores. Combine it with Effect for tighter pathogenicity filtering.,analysis,analysis,
"You can filter variants by whether they're tagged. The Tag node can show only tagged, only untagged, or tagged with specific tags",analysis,analysis,
The Classifications node lets you search for variants that have existing classifications in your lab or visible shared labs.,analysis,analysis,
The Gene List node supports PanelApp UK + Australia panels. Search for a panel by name and it automatically loads the gene list.,analysis,analysis,
"The Venn node lets you combine (union), intersect, or subtract variant sets from two parent nodes. Great for comparing sample groups.",analysis,analysis,
"You can create a sub-cohort from any cohort. Useful for splitting a large study group into smaller, more specific cohorts for analysis.",snpdb,cohorts,
The Cohort node can show per-sample het/hom counts in the grid. Use this to quickly see zygosity across all cohort members for each variant.,analysis,analysis,
Download an annotated CSV or VCF directly from any VCF or sample page. The file is generated in the background so downloads are fast.,snpdb,view_vcf,
You can customise the sample name shown in the analysis grid. Set it to display the patient name for easier identification (Sample page → edit sample label).,snpdb,view_sample,
Sample pages show a graph of chromosomal variant distribution. Useful for spotting sample-level quality issues or unusual patterns.,snpdb,sample_graphs_tab,
The Somalier integration can calculate relatedness between samples. Check for unexpected duplicates or verifying family relationships from the sample page.,snpdb,view_sample,SOMALIER.enabled
You can link samples to patients and specimens for traceability. Do this from the Sample settings tab.,snpdb,view_sample,
BED files can be uploaded and used in the Intersection node to filter variants to genomic intervals you care about. Like custom capture regions.,snpdb,bed_files,
Create a custom column definition to add calculated or formatted fields to any analysis grid. Go to Settings → Custom Columns.,snpdb,custom_columns,
"You can search for a variant by genomic position, HGVS notation, dbSNP rsID, gene symbol, or COSMIC ID. The search bar handles all of these.",variantopedia,search,
Use the prefix 'an' followed by a number in search to jump directly to an analysis by ID (e.g. 'an42').,variantopedia,search,
Searching for a contig or chromosome name like 'chrX' takes you to a dedicated genome build/contig page.,variantopedia,search,
You can manually enter a novel variant through Search → and create + annotate it if it doesn't exist in the database yet,snpdb,manual_variant_entry,VARIANT_MANUAL_CREATE
Variant tags are lifted over between genome builds. A tag you apply in GRCh37 analysis will show up in GRCh38 views of the same allele.,variantopedia,variant_tags,
You can view all of your variant tags across every analysis in one place from the Variant Tags grid.,variantopedia,variant_tags,
Tag colour schemes can be shared across your lab. Create a colour collection in Settings → Tags and share it with your group.,snpdb,tag_settings,
The Variant Details page shows 'Nearby Variants' with tag and classification counts. Great for spotting if a neighbouring variant has already been classified.,variantopedia,view_variant,
